medication_name,opioid_drug,antibiotic_drug,high_risk,antipsychotic_drug
ERTAPENEM SODIUM,N,Y,N,N 
ERYTHROMYCIN BASE,N,N,N,N 
ERYTHROMYCIN BASE,N,Y,N,N 
ERYTHROMYCIN BASE/ETHANOL,N,N,N,N 
ERYTHROMYCIN ETHYLSUCCINATE,N,Y,N,N 
ERYTHROMYCIN LACTOBIONATE,N,Y,N,N 
ERYTHROMYCIN STEARATE,N,Y,N,N 
ERYTHROMYCIN/BENZOYL PEROXIDE,N,N,N,N 
ESCITALOPRAM OXALATE,N,N,N,N 
ESLICARBAZEPINE ACETATE,N,N,N,N 
ESOMEPRAZOLE MAGNESIUM,N,N,N,N 
ESOMEPRAZOLE SODIUM,N,N,N,N 
ESOMEPRAZOLE STRONTIUM,N,N,N,N 
ESTAZOLAM,N,N,N,N 
ESTRADIOL,N,N,N,N 
ESTRADIOL,N,N,Y,N 
ESTRADIOL ACETATE,N,N,N,N 
ESTRADIOL CYPIONATE,N,N,N,N 
ESTRADIOL VALERATE,N,N,N,N 
ESTRADIOL VALERATE/DIENOGEST,N,N,N,N 
ESTRADIOL/LEVONORGESTREL,N,N,Y,N 
ESTRADIOL/NORETHINDRONE ACET,N,N,Y,N 
ESTRADIOL/NORGESTIMATE,N,N,Y,N 
ESTRAMUSTINE PHOSPHATE SODIUM,N,N,N,N 
"ESTROGEN,CON/M-PROGEST ACET",N,N,Y,N 
"ESTROGENS, CONJUGATED",N,N,Y,N 
"ESTROGENS,CONJ.,SYNTHETIC A",N,N,Y,N 
"ESTROGENS,CONJ.,SYNTHETIC B",N,N,Y,N 
"ESTROGENS,CONJ/BAZEDOXIFENE",N,N,Y,N 
"ESTROGENS,ESTERIFIED",N,N,Y,N 
ESTROPIPATE,N,N,Y,N 
ESZOPICLONE,N,N,Y,N 
ETANERCEPT,N,N,N,N 
ETHACRYNIC ACID,N,N,N,N 
ETHAMBUTOL HCL,N,N,N,N 
ETHINYL ESTRADIOL/DROSPIRENONE,N,N,N,N 
ETHIONAMIDE,N,N,N,N 
ETHOSUXIMIDE,N,N,N,N 
ETHOTOIN,N,N,N,N 
ETHYNODIOL D-ETHINYL ESTRADIOL,N,N,N,N 
ETIDRONATE DISODIUM,N,N,N,N 
ETODOLAC,N,N,N,N 
ETONOGESTREL,N,N,N,N 
ETONOGESTREL/ETHINYL ESTRADIOL,N,N,N,N 
ETOPOSIDE,N,N,N,N 
ETRAVIRINE,N,N,N,N 
EVEROLIMUS,N,N,N,N 
EVOLOCUMAB,N,N,N,N 
EXEMESTANE,N,N,N,N 
EXENATIDE,N,N,N,N 
EXENATIDE MICROSPHERES,N,N,N,N 
EZETIMIBE,N,N,N,N 
EZETIMIBE/SIMVASTATIN,N,N,N,N 
EZOGABINE,N,N,N,N 
FAMCICLOVIR,N,N,N,N 
FAMOTIDINE,N,N,N,N 
"FAMOTIDINE IN NACL,ISO-OSM/PF",N,N,N,N 
FAMOTIDINE/PF,N,N,N,N 
FAT EMULSIONS,N,N,N,N 
"FE FUMARATE/DOSS/FA/BCOMP,C",N,N,N,N 
"FE FUMARATE/FA/MV, MIN COMB#15",N,N,N,N 
FEBUXOSTAT,N,N,N,N 
FELBAMATE,N,N,N,N 
FELODIPINE,N,N,N,N 
FENOFIBRATE,N,N,N,N 
FENOFIBRATE NANOCRYSTALLIZED,N,N,N,N 
"FENOFIBRATE,MICRONIZED",N,N,N,N 
FENOFIBRIC ACID,N,N,N,N 
FENOFIBRIC ACID (CHOLINE),N,N,N,N 
FENOPROFEN CALCIUM,N,N,N,N 
FENTANYL,Y,N,N,N 
FENTANYL CITRATE,Y,N,N,N 
FENTANYL CITRATE/PF,N,N,N,N 
FERRIC CITRATE,N,N,N,N 
FESOTERODINE FUMARATE,N,N,N,N 
FEXOFENADINE HCL,N,N,N,N 
FEXOFENADINE/PSEUDOEPHEDRINE,N,N,N,N 
FIDAXOMICIN,N,Y,N,N 
FILGRASTIM,N,N,N,N 
FILGRASTIM-SNDZ,N,N,N,N 
FINASTERIDE,N,N,N,N 
FINGOLIMOD HCL,N,N,N,N 
FLAVOXATE HCL,N,N,N,N 
FLECAINIDE ACETATE,N,N,N,N 
FLUCONAZOLE,N,N,N,N 
"FLUCONAZOLE IN DEXTROSE,ISO-OS",N,N,N,N 
"FLUCONAZOLE IN NACL,ISO-OSM",N,N,N,N 
FLUCYTOSINE,N,N,N,N 
FLUDARABINE PHOSPHATE,N,N,N,N 
FLUDROCORTISONE ACETATE,N,N,N,N 
FLUMAZENIL,N,N,N,N 
FLUNISOLIDE,N,N,N,N 
FLUOCINOLONE ACETONIDE,N,N,N,N 
FLUOCINOLONE ACETONIDE OIL,N,N,N,N 
FLUOCINOLONE/EMOL CMB#65,N,N,N,N 
FLUOCINOLONE/SHOWER CAP,N,N,N,N 
FLUOCINOLONE/SKIN CLNSR28,N,N,N,N 
FLUOCINONIDE,N,N,N,N 
FLUOCINONIDE/EMOLLIENT BASE,N,N,N,N 
FLUOROMETHOLONE,N,N,N,N 
FLUOROMETHOLONE ACETATE,N,N,N,N 
FLUOROURACIL,N,N,N,N 
FLUOXETINE HCL,N,N,N,N 
FLUOXYMESTERONE,N,N,N,N 
FLUPHENAZINE DECANOATE,N,N,N,Y 
FLUPHENAZINE HCL,N,N,N,Y 
FLURANDRENOLIDE,N,N,N,N 
FLURAZEPAM HCL,N,N,N,N 
FLURBIPROFEN,N,N,N,N 
FLURBIPROFEN SODIUM,N,N,N,N 
FLUTAMIDE,N,N,N,N 
FLUTICASONE FUROATE,N,N,N,N 
FLUTICASONE PROPIONATE,N,N,N,N 
FLUTICASONE/SALMETEROL,N,N,N,N 
FLUTICASONE/VILANTEROL,N,N,N,N 
FLUVASTATIN SODIUM,N,N,N,N 
FLUVOXAMINE MALEATE,N,N,N,N 
FOLIC ACID,N,N,N,N 
"FOLIC ACID/VIT BCOMP,C",N,N,N,N 
FONDAPARINUX SODIUM,N,N,N,N 
FORMOTEROL FUMARATE,N,N,N,N 
FOSAMPRENAVIR CALCIUM,N,N,N,N 
FOSAPREPITANT DIMEGLUMINE,N,N,N,N 
FOSCARNET SODIUM,N,N,N,N 
FOSFOMYCIN TROMETHAMINE,N,Y,N,N 
FOSINOPRIL SODIUM,N,N,N,N 
FOSINOPRIL/HYDROCHLOROTHIAZIDE,N,N,N,N 
FOSPHENYTOIN SODIUM,N,N,N,N 
FROVATRIPTAN SUCCINATE,N,N,N,N 
FULVESTRANT,N,N,N,N 
FUROSEMIDE,N,N,N,N 
GABAPENTIN,N,N,N,N 
GABAPENTIN ENACARBIL,N,N,N,N 
GALANTAMINE HBR,N,N,N,N 
GALSULFASE,N,N,N,N 
GANCICLOVIR,N,N,N,N 
GANCICLOVIR SODIUM,N,N,N,N 
GATIFLOXACIN,N,N,N,N 
GAUZE BANDAGE,N,N,N,N 
GEFITINIB,N,N,N,N 
GEMCITABINE HCL,N,N,N,N 
GEMFIBROZIL,N,N,N,N 
GEMIFLOXACIN MESYLATE,N,Y,N,N 
"GENTAMICIN IN NACL, ISO-OSM",N,Y,N,N 
GENTAMICIN SULFATE,N,N,N,N 
GENTAMICIN SULFATE,N,Y,N,N 
GENTAMICIN SULFATE/PF,N,Y,N,N 
GENTAMICIN/PREDNISOL AC,N,N,N,N 
GLATIRAMER ACETATE,N,N,N,N 
GLIMEPIRIDE,N,N,N,N 
GLIPIZIDE,N,N,N,N 
GLIPIZIDE/METFORMIN HCL,N,N,N,N 
"GLUCAGON,HUMAN RECOMBINANT",N,N,N,N 
GLYBURIDE,N,N,Y,N 
"GLYBURIDE,MICRONIZED",N,N,Y,N 
GLYBURIDE/METFORMIN HCL,N,N,Y,N 
GLYCEROL PHENYLBUTYRATE,N,N,N,N 
GLYCOPYRROLATE,N,N,N,N 
GOLIMUMAB,N,N,N,N 
GOSERELIN ACETATE,N,N,N,N 
GRANISETRON,N,N,N,N 
GRANISETRON HCL,N,N,N,N 
GRANISETRON HCL/PF,N,N,N,N 
"GRASS POLLEN-TIMOTHY, STANDARD",N,N,N,N 
GRISEOFULVIN ULTRAMICROSIZE,N,N,N,N 
"GRISEOFULVIN, MICROSIZE",N,N,N,N 
GUAIFENESIN/CODEINE PHOSPHATE,N,N,N,N 
GUANFACINE HCL,N,N,Y,N 
GUANIDINE HCL,N,N,N,N 
HAEMOPH B POLY CONJ-TET TOX/PF,N,N,N,N 
HAEMPH B POLYSAC CONJ-MENIN/PF,N,N,N,N 
HALCINONIDE,N,N,N,N 
HALOBETASOL PROPIONATE,N,N,N,N 
HALOBETASOL/LACTIC ACID,N,N,N,N 
HALOPERIDOL,N,N,N,Y 
HALOPERIDOL DECANOATE,N,N,N,Y 
HALOPERIDOL LACTATE,N,N,N,Y 
"HC/MINERAL OIL/PETROLAT,WHT",N,N,N,N 
HEP B VACCINE/DP(A)T-POLIO/PF,N,N,N,N 
HEP B VACCINE/HIB CONJ-MENG/PF,N,N,N,N 
"HEPARIN SOD,PORK IN 0.45% NACL",N,N,N,N 
"HEPARIN SODIUM,PORCINE",N,N,N,N 
"HEPARIN SODIUM,PORCINE/D5W",N,N,N,N 
"HEPARIN SODIUM,PORCINE/PF",N,N,N,N 
HEPATITIS A & B VACCINE/PF,N,N,N,N 
HEPATITIS A VIRUS VACCINE/PF,N,N,N,N 
HEPATITIS B IMMUN GLOB/MALTOSE,N,N,N,N 
HEPATITIS B IMMUNE GLOBULIN,N,N,N,N 
HEPATITIS B VIRUS VACCINE/PF,N,N,N,N 
HEXACHLOROPHENE,N,N,N,N 
HIB CONJ-TET TOX(15MOS-4YR)/PF,N,N,N,N 
HISTRELIN AC,N,N,N,N 
HOMATROPINE HBR,N,N,N,N 
HPV VACCINE 9-VALENT/PF,N,N,N,N 
"HUMAN PAPILOMVIRUS VAC,QVAL/PF",N,N,N,N 
HYDRALAZINE HCL,N,N,N,N 
HYDROCHLOROTHIAZIDE,N,N,N,N 
HYDROCODONE BIT/HOMATROP ME-BR,N,N,N,N 
HYDROCODONE BITARTRATE,Y,N,N,N 
HYDROCODONE/ACETAMINOPHEN,Y,N,N,N 
HYDROCODONE/CHLORPHEN P-STIREX,N,N,Y,N 
HYDROCODONE/IBUPROFEN,Y,N,N,N 
HYDROCORTISONE,N,N,N,N 
HYDROCORTISONE ACETATE,N,N,N,N 
HYDROCORTISONE BUTYRATE,N,N,N,N 
HYDROCORTISONE BUTYRATE/EMOLL,N,N,N,N 
HYDROCORTISONE PROBUTATE,N,N,N,N 
HYDROCORTISONE SOD SUCC/PF,N,N,N,N 
HYDROCORTISONE SOD SUCCINATE,N,N,N,N 
HYDROCORTISONE VALERATE,N,N,N,N 
HYDROCORTISONE/LIDOCAINE/ALOE,N,N,N,N 
HYDROCORTISONE/PRAMOXINE,N,N,N,N 
HYDROCORTISONE/SKIN CLNSR #35,N,N,N,N 
HYDROMORPHONE HCL,Y,N,N,N 
HYDROMORPHONE HCL/PF,Y,N,N,N 
HYDROQUINONE,N,N,N,N 
HYDROXYCHLOROQUINE SULFATE,N,N,N,N 
HYDROXYPROGESTERONE CAPROATE,N,N,N,N 
HYDROXYPROPYL CELLULOSE,N,N,N,N 
HYDROXYUREA,N,N,N,N 
HYDROXYZINE HCL,N,N,Y,N 
HYDROXYZINE PAMOATE,N,N,Y,N 
HYOSCYAMINE SULFATE,N,N,N,N 
IBANDRONATE SODIUM,N,N,N,N 
IBRUTINIB,N,N,N,N 
IBUPROFEN,N,N,N,N 
IBUPROFEN/FAMOTIDINE,N,N,N,N 
IBUPROFEN/OXYCODONE HCL,Y,N,N,N 
ICATIBANT ACETATE,N,N,N,N 
ICOSAPENT ETHYL,N,N,N,N 
IDELALISIB,N,N,N,N 
IDURSULFASE,N,N,N,N 
IFOSFAMIDE,N,N,N,N 
"IGG/HYALURONIDASE,RECOMBINANT",N,N,N,N 
ILOPERIDONE,N,N,N,Y 
ILOPROST TROMETHAMINE,N,N,N,N 
IMATINIB MESYLATE,N,N,N,N 
IMIGLUCERASE,N,N,N,N 
IMIPENEM/CILASTATIN SODIUM,N,Y,N,N 
IMIPRAMINE HCL,N,N,Y,N 
IMIPRAMINE PAMOATE,N,N,Y,N 
IMIQUIMOD,N,N,N,N 
IMM GLOB G (IGG)/SORB/IGA 0-50,N,N,N,N 
IMMUN GLOB G (IGG)/GLY/IGA 50+,N,N,N,N 
IMMUN GLOB G(IGG)/MALT/IGA 50+,N,N,N,N 
IMMUN GLOB G(IGG)/PRO/IGA 0-50,N,N,N,N 
IMMUN GLOB G(IGG)/SORB/IGA 50+,N,N,N,N 
IMMUN GLOB G(IGG)/SUCR/IGA 50+,N,N,N,N 
IMMUN GLOB G/GLY/GLUC/IGA 0-50,N,N,N,N 
IMMUN GLOB G/SORB/GLY/IGA 0-50,N,N,N,N 
IMMUNE GLOBUL G (IGG)/GLYCINE,N,N,N,N 
INCOBOTULINUMTOXINA,N,N,N,N 
INDACATEROL MALEATE,N,N,N,N 
INDAPAMIDE,N,N,N,N 
INDINAVIR SULFATE,N,N,N,N 
INDOMETHACIN,N,N,Y,N 
"INDOMETHACIN, SUBMICRONIZED",N,N,Y,N 
INFLIXIMAB,N,N,N,N 
INGENOL MEBUTATE,N,N,N,N 
INSULIN ADMIN. SUPPLIES,N,N,N,N 
INSULIN ASPART,N,N,N,N 
INSULIN ASPART PROTAM & ASPART,N,N,N,N 
INSULIN DEGLUDEC,N,N,N,N 
INSULIN DETEMIR,N,N,N,N 
"INSULIN GLARGINE,HUM.REC.ANLOG",N,N,N,N 
INSULIN GLULISINE,N,N,N,N 
INSULIN LISPRO,N,N,N,N 
INSULIN LISPRO PROTAMIN/LISPRO,N,N,N,N 
INSULIN NPH HUM/REG INSULIN HM,N,N,N,N 
INSULIN NPH HUMAN ISOPHANE,N,N,N,N 
INSULIN PUMP CARTRIDGE,N,N,N,N 
"INSULIN REGULAR, HUMAN",N,N,N,N 
"INTERFERON ALFA-2B,RECOMB.",N,N,N,N 
INTERFERON BETA-1A,N,N,N,N 
INTERFERON BETA-1A/ALBUMIN,N,N,N,N 
INTERFERON BETA-1B,N,N,N,N 
"INTERFERON GAMMA-1B,RECOMB.",N,N,N,N 
IPILIMUMAB,N,N,N,N 
IPRATROPIUM BROMIDE,N,N,N,N 
IPRATROPIUM/ALBUTEROL SULFATE,N,N,N,N 
IRBESARTAN,N,N,N,N 
IRBESARTAN/HYDROCHLOROTHIAZIDE,N,N,N,N 
IRINOTECAN HCL,N,N,N,N 
IRON PS CMPLX/VIT B12/FA,N,N,N,N 
"IRON,CARBONYL/FA/MULTIVIT-MIN",N,N,N,N 
"IRON,CARBONYL/VIT C/VIT B12/FA",N,N,N,N 
ISAVUCONAZONIUM SULFATE,N,N,N,N 
ISOCARBOXAZID,N,N,N,N 
ISONIAZID,N,N,N,N 
ISOSORB DINIT/HYDRALAZINE HCL,N,N,N,N 
ISOSORBIDE DINITRATE,N,N,N,N 
ISOSORBIDE MONONITRATE,N,N,N,N 
ISOTRETINOIN,N,N,N,N 
ISRADIPINE,N,N,N,N 
ITRACONAZOLE,N,N,N,N 
IVABRADINE HCL,N,N,N,N 
IVACAFTOR,N,N,N,N 
IVERMECTIN,N,N,N,N 
IXABEPILONE,N,N,N,N 
IXAZOMIB CITRATE,N,N,N,N 
JAPANESE ENCEPHALITIS VACC/PF,N,N,N,N 
KETOCONAZOLE,N,N,N,N 
KETOPROFEN,N,N,N,N 
KETOROLAC TROMETHAMINE,N,N,N,N 
KETOROLAC TROMETHAMINE,N,N,Y,N 
KETOROLAC TROMETHAMINE/PF,N,N,N,N 
L-NORGEST/E.ESTRADION-E.ESTRAD,N,N,N,N 
LABETALOL HCL,N,N,N,N 
LACOSAMIDE,N,N,N,N 
LACTULOSE,N,N,N,N 
LAMIVUDINE,N,N,N,N 
LAMIVUDINE/ZIDOVUDINE,N,N,N,N 
LAMOTRIGINE,N,N,N,N 
LANCETS,N,N,N,N 
LANREOTIDE ACETATE,N,N,N,N 
LANSOPRAZOLE,N,N,N,N 
LANSOPRAZOLE/AMOXICILN/CLARITH,N,N,N,N 
LANTHANUM CARBONATE,N,N,N,N 
LAPATINIB DITOSYLATE,N,N,N,N 
LARONIDASE,N,N,N,N 
LATANOPROST,N,N,N,N 
LEDIPASVIR/SOFOSBUVIR,N,N,N,N 
LEFLUNOMIDE,N,N,N,N 
LENALIDOMIDE,N,N,N,N 
LENVATINIB MESYLATE,N,N,N,N 
LETROZOLE,N,N,N,N 
LEUCOVORIN CALCIUM,N,N,N,N 
LEUPROLIDE ACETATE,N,N,N,N 
LEUPROLIDE/NORETHINDRONE ACET,N,N,N,N 
LEVALBUTEROL HCL,N,N,N,N 
LEVALBUTEROL TARTRATE,N,N,N,N 
LEVETIRACETAM,N,N,N,N 
LEVETIRACETAM IN NACL (ISO-OS),N,N,N,N 
LEVOBUNOLOL HCL,N,N,N,N 
LEVOCARNITINE,N,N,N,N 
LEVOCARNITINE (WITH SUGAR),N,N,N,N 
LEVOCETIRIZINE DIHYDROCHLORIDE,N,N,N,N 
LEVOFLOXACIN,N,Y,N,N 
LEVOFLOXACIN/D5W,N,Y,N,N 
LEVOLEUCOVORIN CALCIUM,N,N,N,N 
LEVOMEFOLATE CALCIUM,N,N,N,N 
LEVOMEFOLATE/ALGAL OIL,N,N,N,N 
LEVOMILNACIPRAN HYDROCHLORIDE,N,N,N,N 
LEVONORGESTREL,N,N,N,N 
LEVONORGESTREL-ETHIN ESTRADIOL,N,N,N,N 
LEVORPHANOL TARTRATE,Y,N,N,N 
LEVOTHYROXINE SODIUM,N,N,N,N 
LIDOCAINE,N,N,N,N 
LIDOCAINE HCL,N,N,N,N 
LIDOCAINE HCL/EPINEPHRINE,N,N,N,N 
LIDOCAINE HCL/GLYCERIN,N,N,N,N 
LIDOCAINE HCL/MENTHOL,N,N,N,N 
LIDOCAINE HCL/PF,N,N,N,N 
LIDOCAINE/HYDROCORTISONE AC,N,N,N,N 
LIDOCAINE/PRILOCAINE,N,N,N,N 
LIDOCAINE/TETRACAINE,N,N,N,N 
LINACLOTIDE,N,N,N,N 
LINAGLIPTIN,N,N,N,N 
LINAGLIPTIN/METFORMIN HCL,N,N,N,N 
LINCOMYCIN HCL,N,Y,N,N 
LINDANE,N,N,N,N 
LINEZOLID,N,Y,N,N 
LINEZOLID-0.9% SODIUM CHLORIDE,N,Y,N,N 
LIOTHYRONINE SODIUM,N,N,N,N 
LIPASE/PROTEASE/AMYLASE,N,N,N,N 
LIRAGLUTIDE,N,N,N,N 
LISDEXAMFETAMINE DIMESYLATE,N,N,N,N 
LISINOPRIL,N,N,N,N 
LISINOPRIL/HYDROCHLOROTHIAZIDE,N,N,N,N 
LITHIUM CARBONATE,N,N,N,N 
LITHIUM CITRATE,N,N,N,N 
LODOXAMIDE TROMETHAMINE,N,N,N,N 
LOMITAPIDE MESYLATE,N,N,N,N 
LOMUSTINE,N,N,N,N 
LOPERAMIDE HCL,N,N,N,N 
LOPINAVIR/RITONAVIR,N,N,N,N 
LORAZEPAM,N,N,N,N 
LORCASERIN HCL,N,N,N,N 
LOSARTAN POTASSIUM,N,N,N,N 
LOSARTAN/HYDROCHLOROTHIAZIDE,N,N,N,N 
LOTEPREDNOL ETABONATE,N,N,N,N 
LOVASTATIN,N,N,N,N 
LOXAPINE SUCCINATE,N,N,N,Y 
LUBIPROSTONE,N,N,N,N 
LULICONAZOLE,N,N,N,N 
LUMACAFTOR/IVACAFTOR,N,N,N,N 
LURASIDONE HCL,N,N,N,Y 
MACITENTAN,N,N,N,N 
MAFENIDE ACETATE,N,N,N,N 
MAGNESIUM CHLORIDE,N,N,N,N 
MAGNESIUM SULFATE,N,N,N,N 
MAGNESIUM SULFATE IN WATER,N,N,N,N 
MAGNESIUM SULFATE/D5W,N,N,N,N 
MALATHION,N,N,N,N 
MANNITOL,N,N,N,N 
MAPROTILINE HCL,N,N,N,N 
MARAVIROC,N,N,N,N 
"MEASLES,MUMPS&RUBELLA VACC/PF",N,N,N,N 
"MEASLES,MUMPS,RUB,VARICELLA/PF",N,N,N,N 
MECAMYLAMINE HCL,N,N,N,N 
MECHLORETHAMINE HCL,N,N,N,N 
MECLIZINE HCL,N,N,N,N 
MECLOFENAMATE SODIUM,N,N,N,N 
MECOBAL/LEVOMEFOLAT CA/B6 PHOS,N,N,N,N 
MEDROXYPROGESTERONE ACETATE,N,N,N,N 
MEFENAMIC ACID,N,N,N,N 
MEFLOQUINE HCL,N,N,N,N 
MEGESTROL ACETATE,N,N,Y,N 
MELOXICAM,N,N,N,N 
MELPHALAN,N,N,N,N 
MEMANTINE HCL,N,N,N,N 
MEMANTINE HCL/DONEPEZIL HCL,N,N,N,N 
"MENING VAC A,C,Y,W-135 DIP/PF",N,N,N,N 
"MENINGOCOC VAC A,C,Y,W-135/PF",N,N,N,N 
"MENINGOCOCCAL B VACC,4-COMP/PF",N,N,N,N 
"MENINGOCOCCAL VAC A,C,Y,W-135",N,N,N,N 
MEPENZOLATE BROMIDE,N,N,N,N 
MEPERIDINE HCL,Y,N,Y,N 
MEPERIDINE HCL/PF,Y,N,Y,N 
MEPROBAMATE,N,N,Y,N 
MERCAPTOPURINE,N,N,N,N 
MEROPENEM,N,Y,N,N 
MEROPENEM-0.9% SODIUM CHLORIDE,N,Y,N,N 
MESALAMINE,N,N,N,N 
MESALAMINE W/CLEANSING WIPES,N,N,N,N 
MESNA,N,N,N,N 
METAPROTERENOL SULFATE,N,N,N,N 
METAXALONE,N,N,Y,N 
METFORMIN HCL,N,N,N,N 
METHADONE HCL,Y,N,N,N 
METHAMPHETAMINE HCL,N,N,N,N 
METHAZOLAMIDE,N,N,N,N 
METHEN/M-BLUE/SAL/NA PHOS/HYOS,N,N,N,N 
METHEN/SOD PHOS/METH BLUE/HYOS,N,N,N,N 
METHENAM/ME BLUE/BA/SALICY/HYO,N,N,N,N 
METHENAMINE HIPPURATE,N,N,N,N 
METHENAMINE MANDELATE,N,N,N,N 
METHIMAZOLE,N,N,N,N 
METHOCARBAMOL,N,N,Y,N 
METHOTREXATE SODIUM,N,N,N,N 
METHOTREXATE SODIUM/PF,N,N,N,N 
METHOTREXATE/PF,N,N,N,N 
METHOXSALEN,N,N,N,N 
"METHOXSALEN, RAPID",N,N,N,N 
METHSCOPOLAMINE BROMIDE,N,N,N,N 
METHSUXIMIDE,N,N,N,N 
METHYCLOTHIAZIDE,N,N,N,N 
METHYLDOPA,N,N,Y,N 
METHYLDOPA/HYDROCHLOROTHIAZIDE,N,N,Y,N 
METHYLERGONOVINE MALEATE,N,N,N,N 
METHYLNALTREXONE BROMIDE,N,N,N,N 
METHYLPHENIDATE,N,N,N,N 
METHYLPHENIDATE HCL,N,N,N,N 
METHYLPREDNISOLONE,N,N,N,N 
METHYLPREDNISOLONE ACETATE,N,N,N,N 
METHYLPREDNISOLONE SOD SUCC,N,N,N,N 
METHYLPREDNISOLONE SOD SUCC/PF,N,N,N,N 
METHYLTESTOSTERONE,N,N,N,N 
METIPRANOLOL,N,N,N,N 
METOCLOPRAMIDE HCL,N,N,N,N 
METOLAZONE,N,N,N,N 
METOPROLOL SUCCINATE,N,N,N,N 
METOPROLOL SUCCINATE/HCTZ,N,N,N,N 
METOPROLOL TARTRATE,N,N,N,N 
METOPROLOL/HYDROCHLOROTHIAZIDE,N,N,N,N 
METRELEPTIN,N,N,N,N 
METRONIDAZOLE,N,N,N,N 
METRONIDAZOLE,N,Y,N,N 
METRONIDAZOLE/SKIN CLEANSR #23,N,N,N,N 
METRONIDAZOLE/SODIUM CHLORIDE,N,Y,N,N 
METYROSINE,N,N,N,N 
MEXILETINE HCL,N,N,N,N 
MICAFUNGIN SODIUM,N,N,N,N 
MICONAZOLE,N,N,N,N 
MICONAZOLE NITRATE,N,N,N,N 
MICONAZOLE NITRATE/ZINC OX/PET,N,N,N,N 
MIDAZOLAM HCL,N,N,N,N 
MIDAZOLAM HCL/PF,N,N,N,N 
MIDODRINE HCL,N,N,N,N 
MIFEPRISTONE,N,N,N,N 
MIGLITOL,N,N,N,N 
MIGLUSTAT,N,N,N,N 
MILNACIPRAN HCL,N,N,N,N 
MILRINONE LACTATE,N,N,N,N 
MILRINONE LACTATE/D5W,N,N,N,N 
MINOCYCLINE HCL,N,Y,N,N 
MINOCYCLINE HCL MICROSPHERES,N,N,N,N 
MINOXIDIL,N,N,N,N 
MIPOMERSEN SODIUM,N,N,N,N 
MIRABEGRON,N,N,N,N 
MIRTAZAPINE,N,N,N,N 
MISOPROSTOL,N,N,N,N 
MITOMYCIN,N,N,N,N 
MITOTANE,N,N,N,N 
MITOXANTRONE HCL,N,N,N,N 
MODAFINIL,N,N,N,N 
MOEXIPRIL HCL,N,N,N,N 
MOEXIPRIL/HYDROCHLOROTHIAZIDE,N,N,N,N 
MOMETASONE FUROATE,N,N,N,N 
MOMETASONE/FORMOTEROL,N,N,N,N 
MONTELUKAST SODIUM,N,N,N,N 
MORPHINE SULFATE,Y,N,N,N 
MORPHINE SULFATE/NALTREXONE,Y,N,N,N 
MORPHINE SULFATE/PF,Y,N,N,N 
MOXIFLOXACIN HCL,N,N,N,N 
MOXIFLOXACIN HCL,N,Y,N,N 
MOXIFLOXACIN IN NACL (ISO-OSM),N,Y,N,N 
MTH/ME BLUE/SOD PHOS/PHEN/HYOS,N,N,N,N 
MUPIROCIN,N,N,N,N 
MUPIROCIN CALCIUM,N,N,N,N 
MYCOPHENOLATE MOFETIL,N,N,N,N 
MYCOPHENOLATE SODIUM,N,N,N,N 
"N.MENINGITIDIS B,LIPID FHBP RC",N,N,N,N 
"NA PHOS,M-B/K PHOS,MONOB",N,N,N,N 
NABILONE,N,N,N,N 
NABUMETONE,N,N,N,N 
NADOLOL,N,N,N,N 
NADOLOL/BENDROFLUMETHIAZIDE,N,N,N,N 
NAFARELIN ACETATE,N,N,N,N 
"NAFCILLIN IN DEXTROSE,ISO-OSM",N,Y,N,N 
NAFCILLIN SODIUM,N,Y,N,N 
NAFTIFINE HCL,N,N,N,N 
NALBUPHINE HCL,Y,N,N,N 
NALOXEGOL OXALATE,N,N,N,N 
NALOXONE HCL,N,N,N,N 
NALTREXONE HCL,N,N,N,N 
NALTREXONE HCL/BUPROPION HCL,N,N,N,N 
NALTREXONE MICROSPHERES,N,N,N,N 
NAPHAZOLINE HCL,N,N,N,N 
"NAPHOS M-B M-H/NA PHOS,DI-BA",N,N,N,N 
NAPROXEN,N,N,N,N 
NAPROXEN SODIUM,N,N,N,N 
NAPROXEN/ESOMEPRAZOLE MAG,N,N,N,N 
NARATRIPTAN HCL,N,N,N,N 
NATALIZUMAB,N,N,N,N 
NATAMYCIN,N,N,N,N 
NATEGLINIDE,N,N,N,N 
NEBIVOLOL HCL,N,N,N,N 
NEDOCROMIL SODIUM,N,N,N,N 
"NEEDLES, DISPOSABLE",N,N,N,N 
"NEEDLES, INSULIN DISPOSABLE",N,N,N,N 
NEFAZODONE HCL,N,N,N,N 
NELFINAVIR MESYLATE,N,N,N,N 
NEO/POLYMYX B SULF/DEXAMETH,N,N,N,N 
NEOMYCIN SU/BACI ZN/POLY/HC,N,N,N,N 
NEOMYCIN SU/BACITRA/POLYMYXIN,N,N,N,N 
NEOMYCIN SU/COLIST/HC/THONZON,N,N,N,N 
NEOMYCIN SU/POLYMYX B SULF,N,N,N,N 
NEOMYCIN SULFATE,N,Y,N,N 
NEOMYCIN SULFATE/FLUOCINOLONE,N,N,N,N 
NEOMYCIN/BACITRA/POLYMYXIN/HC,N,N,N,N 
NEOMYCIN/FLUOCINOLONE/EMOL #65,N,N,N,N 
NEOMYCIN/POLYMYXIN B SULF/HC,N,N,N,N 
NEOMYCIN/POLYMYXN B/GRAMICIDIN,N,N,N,N 
NEOSTIGMINE METHYLSULFATE,N,N,N,N 
